name,name_cn,date,bgm_id,douban_id,bili_id,anidb_id,mal_id,tmdb_id,imdb_id,tvdb_id,wikidata_id
コードギアス 反逆のルルーシュR2,Code Geass 反叛的鲁路修R2,2008-04,8,3004532,,5373,2904,tv/31724/season/2,tt1196006,79525,
ちょびっツ,人形电脑天使心,2002-04,12,1465039,md2061,12,59,tv/37527,tt0326672,72070,
機動戦士ガンダム,机动战士高达,1979-04,50,1766697,,715,80,tv/21731/season/1,tt0159172,76547,Q1134906
CLANNAD -クラナド-,CLANNAD,2007-10,51,2277181,md1177,5101,2167,tv/24835/season/1,tt1118804,80644,Q1095034
劇場版 空の境界 第一章 俯瞰風景,剧场版 空之境界 第一章 俯瞰风景,2007-12,233,2354897,,4932,,movie/23150,tt1155650,82099,Q2411519
AIR,,2005-01,234,1980737,md1816,2002,101,tv/26201/season/1,tt0940874,79101,
マクロスFrontier,超时空要塞Frontier,2008-04,236,3035199,md1189,5415,3572,tv/5857/season/1,tt1216150,81086,
GHOST IN THE SHELL / 攻殻機動隊,攻壳机动队,1995-11,237,1291936,md28230053,61,43,movie/9323,tt0113568,73749,Q1066948
イノセンス,攻壳机动队2 无罪,2004-03,238,1291566,,890,468,movie/12140,tt0347246,73749,Q1058469
時をかける少女,穿越时空的少女,2006-07,242,1937946,,4151,2236,movie/14069,tt0808506,,Q336012
神霊狩/GHOST HOUND,神灵狩,2007-10,244,2261960,md1329,5127,2596,,,80733,
銀魂,银魂,2006-04,247,2057171,md28233839,3468,918,tv/57041/season/1,tt0988818,79895,Q709716
カウボーイビバップ,星际牛仔,1998-10,253,1424406,md5383,23,1,tv/30991,tt0213338,76885,Q43183511
サムライチャンプルー,混沌武士,2004-05,254,1460915,,1543,205,tv/1063/season/1,tt0423731,79089,Q143276
夏目友人帳,夏目友人帐,2008-07,259,3060542,md1660,5787,4081,tv/69500/season/1,tt1352421,82788,Q120141279
新世紀エヴァンゲリオン,新世纪福音战士,1995-10,265,1457573,md1635,22,30,tv/890/season/1,tt0112159,70350,Q662
Kanon,,2006-10,274,1959005,md1375,4404,1530,tv/34124/season/1,tt0928093,79911,
らき☆すた,幸运星,2007-04,276,2224505,md1293,4777,1887,tv/42500/season/1,tt1086236,80177,Q5973302
コゼットの肖像,柯赛特的肖像,2004-05,280,1764867,,1266,514,tv/73501,tt0493227,83628,Q2427982
シゴフミ,死后文,2008-01,281,2377626,md1262,5549,3420,,,81807,
狼と香辛料,狼与香辛料,2008-01,282,2369599,,5406,2966,tv/26707/season/1,tt1158671,81178,Q89304509
みなみけ,南家三姐妹,2007-10,283,2330821,md620,4309,2963,,,81463,
苺ましまろ,草莓棉花糖,2005-07,284,1850084,,2787,488,,,81007,
機動戦士ガンダム00,机动战士高达00,2007-10,286,2309838,md1192,5252,2581,tv/21732/season/1,tt1134000,80675,Q696062
ひぐらしのなく頃に解,寒蝉鸣泣之时 解,2007-07,288,2154314,,4894,1889,tv/271504/season/2,tt1068433,79682,
ひぐらしのなく頃に,寒蝉鸣泣之时,2006-04,289,1946839,,3574,934,tv/25760/season/1,tt0845738,79682,
Fate/stay night,Fate/stay night,2006-01,290,1727200,md120732,3348,356,tv/37858/season/1,tt0774809,79151,Q60987686
DARKER THAN BLACK -黒の契約者-,DARKER THAN BLACK -黑之契约者-,2007-04,292,2052059,md1064,4906,2025,tv/31718/season/1,tt0995941,80042,Q672014
図書館戦争,图书馆战争,2008-04,294,3034934,md1196,5558,3613,tv/89742/season/1,tt1216223,81999,
風の谷のナウシカ,风之谷,1984-03,295,1291585,,275,572,movie/81,tt0087544,,Q8885676
おねがい☆ティーチャー,拜托了老师,2002-01,297,2075971,md2068,16,195,tv/19780/season/1,tt0366848,79062,
天空の城ラピュタ,天空之城,1986-08,298,1291583,,331,513,movie/10515,tt0092067,,Q498577
さよなら絶望先生,再见绝望先生,2007-07,299,2950496,,5083,2605,tv/42887/season/1,tt1169193,80327,Q6499563
俗・さよなら絶望先生,俗・再见绝望先生,2008-01,300,2375819,,5576,3228,,,80327,
となりのトトロ,龙猫,1988-04,302,1291560,,303,523,movie/8392,tt0096283,,Q39571
ドルアーガの塔 ～the Aegis of URUK～,迷宫塔 ～乌鲁克之盾～,2008-04,303,3034723,md1100,5503,3230,,,81744,
RD 潜脳調査室,RD 潜脑调查室,2008-04,304,3033957,,5538,3363,,,81907,
魔女の宅急便,魔女宅急便,1989-07,305,1307811,,286,512,movie/16859,tt0097814,,Q196602
Myself ; Yourself,我自己；你自己,2007-10,306,2377807,md1338,5435,2926,,,81484,
紅の豚,红猪,1992-07,307,1291838,,306,416,movie/11621,tt0104652,,Q498375
